Kigo_Slug,Kigo_JP,Kigo_Romaji,Kigo_EN,Season,Category,Seq
nishin,鰊,nishin,herring,Spring,Animals,103
uguisu,鶯,uguisu,japanese bush warbler,Spring,Animals,104
ume,梅,ume,plum blossoms,Spring,,105
kobai,紅梅,kobai,red plum flowers,Spring,Plants,106
tsubaki,椿,tsubaki,camellia,Spring,Plants,107
hatsuhana,初花,hatsuhana,first cherry flowers,Spring,Plants,108
hatsuzakura,初桜,hatsuzakura,first cherry flowers,Spring,Plants,109
sakura,桜,sakura,cherry blossoms,Spring,Plants,110
hana,花,hana,cherry blossoms,Spring,Plants,111
yamazakura,山桜,yamazakura,mountain cherry flowers,Spring,Plants,112
yaezakura,八重桜,yaezakura,double cherry flowers,Spring,Plants,113
osozakura,遅桜,osozakura,late cherry blossoms,Spring,Plants,114
zanka,残花,zanka,remaining flowers,Spring,Plants,115
tsutsuji,躑躅,tsutsuji,azalea,Spring,Plants,116
mokuren,木蓮,mokuren,magnolia,Spring,Plants,117
fuji,藤,fuji,wisteria,Spring,Plants,118
yamabuki,山吹,yamabuki,kerria japonica,Spring,Plants,119
momonohana,桃の花,momonohana,peach blossoms,Spring,Plants,120
nashinohana,梨の花,nashinohana,pear flowers,Spring,Plants,121
bokenohana,木瓜の花,bokenohana,quince flower,Spring,Plants,122
konome,木の芽,konome,tree buds,Spring,Plants,123
wakamidori,若緑,wakamidori,young green,Spring,Plants,124
kuwa,桑,kuwa,mulberry (young leaves),Spring,Plants,125
yanagi,柳,yanagi,weeping willow,Spring,Plants,126
takenoaki,竹の秋,takenoaki,bamboo autumn,Spring,Plants,127
churippu,チューリップ,churippu,tulips,Spring,Plants,128
nanohana,菜の花,nanohana,rapeseed flowers,Spring,Plants,129
harunokusa,春の草,harunokusa,spring grasses,Spring,Plants,130
shitamoe,下萌,shitamoe,grass sprouts,Spring,Plants,131
wakakusa,若草,wakakusa,young grasses,Spring,Plants,132
tsukushi,土筆,tsukushi,horsetail grass,Spring,Plants,133
warabi,蕨,warabi,bracken,Spring,Plants,134
tsubana,茅花,tsubana,lalang flower,Spring,Plants,135
sumire,菫,sumire,violets,Spring,Plants,136
tanpopo,蒲公英,tanpopo,dandelion,Spring,Plants,137
seri,芹,seri,japanese parsley,Spring,Plants,138
yomogi,蓬,yomogi,mugwort,Spring,Plants,139
migusaou,水草生ふ,migusaou,water grasses sprout,Spring,Plants,140
wakame,和布,wakame,undaria pinnatifide,Spring,Plants,141
aomugi,青麦,aomugi,green wheat,Spring,Plants,142
nori,海苔,nori,laver,Spring,Plants,143
ryujo,柳絮,ryujo,willow fluff,Spring,Plants,144
azami,薊,azami,thistle,Spring,Plants,145
natsu,夏,natsu,summer,Summer,Season,146
uzuki,卯月,uzuki,deutzia month,Summer,Season,147
satsuki,皐月,satsuki,fifth month,Summer,Season,148
minazuki,水無月,minazuki,waterless month,Summer,Season,149
rokugatsu,六月,rokugatsu,sixth month,Summer,Season,150
rikka,立夏,rikka,,Summer,Season,151
natsu-asashi,夏浅し,natsu asashi,summer yet slight,Summer,Season,152
shoka,初夏,shoka,,Summer,Season,153
natsu-meku,夏めく,natsu meku,summery,Summer,Season,154
mugi-no-aki,麦の秋,mugi no aki,wheat's autumn,Summer,Season,155
natsu-no-hi,夏の日,natsu no hi,summer day,Summer,Season,156
natsu-no-yo,夏の夜,natsu no yo,summer nights,Summer,Season,157
mijika-yo,短夜,mijika yo,short nights,Summer,Season,158
atsusa,暑さ,atsusa,heat,Summer,Season,159
